"","region","uni_herdid","age","herdprev"
"1","mekelle",163,2,0.7692
"2","mekelle",163,1,0.7692
"3","mekelle",163,1,0.7692
"4","mekelle",163,2.5,0.7692
"5","mekelle",163,1.5,0.7692
"6","mekelle",163,2,0.7692
"7","mekelle",163,2,0.7692
"8","mekelle",163,2.6,0.7692
"9","mekelle",163,1,0.7692
"10","mekelle",163,1,0.7692
"11","mekelle",163,1,0.7692
"12","mekelle",163,0.7,0.7692
"13","mekelle",163,0.5,0.7692
"14","mekelle",163,1.5,0.7692
"15","mekelle",163,3,0.7692
"16","mekelle",163,4,0.7692
"17","mekelle",163,5,0.7692
"18","mekelle",163,7,0.7692
"19","mekelle",163,8,0.7692
"20","mekelle",163,8,0.7692
"21","mekelle",163,8,0.7692
"22","mekelle",163,8,0.7692
"23","mekelle",163,8,0.7692
"24","mekelle",163,8,0.7692
"25","mekelle",163,8,0.7692
"26","mekelle",163,8,0.7692
"27","mekelle",147,10,0.1818
"28","mekelle",147,8,0.1818
"29","mekelle",147,2,0.1818
"30","mekelle",147,2,0.1818
"31","mekelle",147,3,0.1818
"32","mekelle",147,2.5,0.1818
"33","mekelle",147,2,0.1818
"34","mekelle",147,5,0.1818
"35","mekelle",147,7,0.1818
"36","mekelle",147,8,0.1818
"37","mekelle",147,9,0.1818
"38","mekelle",147,7,0.1818
"39","mekelle",147,8,0.1818
"40","mekelle",147,8,0.1818
"41","mekelle",147,6,0.1818
"42","mekelle",147,10,0.1818
"43","mekelle",147,1,0.1818
"44","mekelle",147,1,0.1818
"45","mekelle",147,1,0.1818
"46","mekelle",147,1.5,0.1818
"47","mekelle",147,0.5,0.1818
"48","mekelle",147,0.7,0.1818
"49","mekelle",191,1.2,0.8333
"50","mekelle",191,1.2,0.8333
"51","mekelle",191,1.2,0.8333
"52","mekelle",191,0.7,0.8333
"53","mekelle",191,4,0.8333
"54","mekelle",191,5,0.8333
"55","mekelle",191,6,0.8333
"56","mekelle",191,8,0.8333
"57","mekelle",191,7,0.8333
"58","mekelle",191,8,0.8333
"59","mekelle",191,0.3,0.8333
"60","mekelle",191,2.5,0.8333
"61","mekelle",114,5,0.8182
"62","mekelle",114,8,0.8182
"63","mekelle",114,4.5,0.8182
"64","mekelle",114,10,0.8182
"65","mekelle",114,7,0.8182
"66","mekelle",114,10,0.8182
"67","mekelle",114,2.5,0.8182
"68","mekelle",114,1,0.8182
"69","mekelle",114,1,0.8182
"70","mekelle",114,0.7,0.8182
"71","mekelle",114,0.4,0.8182
"72","mekelle",176,3.5,0.9375
"73","mekelle",176,1,0.9375
"74","mekelle",176,1,0.9375
"75","mekelle",176,4.5,0.9375
"76","mekelle",176,0.75,0.9375
"77","mekelle",176,5,0.9375
"78","mekelle",176,4,0.9375
"79","mekelle",176,4.5,0.9375
"80","mekelle",176,3.5,0.9375
"81","mekelle",176,3,0.9375
"82","mekelle",176,1.4,0.9375
"83","mekelle",176,0.5,0.9375
"84","mekelle",176,0.25,0.9375
"85","mekelle",176,5,0.9375
"86","mekelle",176,1.75,0.9375
"87","mekelle",176,0.08,0.9375
"88","mekelle",158,3.4,0.0588
"89","mekelle",158,8,0.0588
"90","mekelle",158,8,0.0588
"91","mekelle",158,4,0.0588
"92","mekelle",158,6,0.0588
"93","mekelle",158,0.75,0.0588
"94","mekelle",158,0.9,0.0588
"95","mekelle",158,1,0.0588
"96","mekelle",158,1,0.0588
"97","mekelle",158,3.3,0.0588
"98","mekelle",158,7,0.0588
"99","mekelle",158,4.25,0.0588
"100","mekelle",158,2.75,0.0588
"101","mekelle",158,6.5,0.0588
"102","mekelle",158,3,0.0588
"103","mekelle",158,1.75,0.0588
"104","mekelle",158,2.6,0.0588
"105","mekelle",164,2.5,0.12
"106","mekelle",164,2.5,0.12
"107","mekelle",164,3,0.12
"108","mekelle",164,8,0.12
"109","mekelle",164,2.5,0.12
"110","mekelle",164,2,0.12
"111","mekelle",164,8,0.12
"112","mekelle",164,2,0.12
"113","mekelle",164,2,0.12
"114","mekelle",164,1.5,0.12
"115","mekelle",164,2,0.12
"116","mekelle",164,7,0.12
"117","mekelle",164,4.5,0.12
"118","mekelle",164,2.5,0.12
"119","mekelle",164,2,0.12
"120","mekelle",164,2,0.12
"121","mekelle",164,3,0.12
"122","mekelle",164,1.5,0.12
"123","mekelle",164,3,0.12
"124","mekelle",164,3,0.12
"125","mekelle",164,5,0.12
"126","mekelle",164,6,0.12
"127","mekelle",164,1,0.12
"128","mekelle",164,1.5,0.12
"129","mekelle",164,1.5,0.12
"130","mekelle",164,8,0.12
"131","mekelle",164,10,0.12
"132","mekelle",164,8,0.12
"133","mekelle",164,7,0.12
"134","mekelle",164,6,0.12
"135","mekelle",164,5.5,0.12
"136","mekelle",164,6,0.12
"137","mekelle",164,6,0.12
"138","mekelle",164,12,0.12
"139","mekelle",164,7,0.12
"140","mekelle",164,3.5,0.12
"141","mekelle",164,3.5,0.12
"142","mekelle",164,3.5,0.12
"143","mekelle",164,3,0.12
"144","mekelle",164,5,0.12
"145","mekelle",164,5,0.12
"146","mekelle",164,6,0.12
"147","mekelle",164,5,0.12
"148","mekelle",164,5,0.12
"149","mekelle",164,5,0.12
"150","mekelle",164,6,0.12
"151","mekelle",164,6,0.12
"152","mekelle",164,6,0.12
"153","mekelle",164,4,0.12
"154","mekelle",164,4,0.12
"155","mekelle",164,3,0.12
"156","mekelle",164,3,0.12
"157","mekelle",164,2.5,0.12
"158","mekelle",164,5,0.12
"159","mekelle",164,4,0.12
"160","mekelle",164,2,0.12
"161","mekelle",164,0.3,0.12
"162","mekelle",164,1,0.12
"163","mekelle",164,0.3,0.12
"164","mekelle",164,1.25,0.12
"165","mekelle",164,1.4,0.12
"166","mekelle",164,1.4,0.12
"167","mekelle",164,2.5,0.12
"168","mekelle",164,2.5,0.12
"169","mekelle",164,3.5,0.12
"170","mekelle",164,4.5,0.12
"171","mekelle",164,4.5,0.12
"172","mekelle",164,4.5,0.12
"173","mekelle",164,6,0.12
"174","mekelle",164,3,0.12
"175","mekelle",164,3,0.12
"176","mekelle",164,6,0.12
"177","mekelle",164,5,0.12
"178","mekelle",164,7,0.12
"179","mekelle",164,5,0.12
"180","mekelle",164,5,0.12
"181","mekelle",164,5,0.12
"182","mekelle",164,10,0.12
"183","mekelle",164,2,0.12
"184","mekelle",164,8,0.12
"185","mekelle",164,10,0.12
"186","mekelle",164,0.16,0.12
"187","mekelle",164,0.16,0.12
"188","mekelle",164,0.08,0.12
"189","mekelle",164,0.08,0.12
"190","mekelle",164,0.08,0.12
"191","mekelle",128,10,0.1
"192","mekelle",128,6,0.1
"193","mekelle",128,7,0.1
"194","mekelle",128,2,0.1
"195","mekelle",128,5,0.1
"196","mekelle",128,0.4,0.1
"197","mekelle",128,0.25,0.1
"198","mekelle",128,0.6,0.1
"199","mekelle",128,2,0.1
"200","mekelle",128,2,0.1
"201","mekelle",121,5,0.3
"202","mekelle",121,7,0.3
"203","mekelle",121,9,0.3
"204","mekelle",121,3,0.3
"205","mekelle",121,2,0.3
"206","mekelle",121,11,0.3
"207","mekelle",121,8,0.3
"208","mekelle",121,0.8,0.3
"209","mekelle",121,1,0.3
"210","mekelle",121,8,0.3
"211","gondar",196,9,0.133333333
"212","gondar",196,7,0.133333333
"213","gondar",196,3,0.133333333
"214","gondar",196,3.5,0.133333333
"215","gondar",196,0.68,0.133333333
"216","gondar",196,0.92,0.133333333
"217","gondar",196,7,0.133333333
"218","gondar",196,4,0.133333333
"219","gondar",196,4,0.133333333
"220","gondar",196,1,0.133333333
"221","gondar",196,4,0.133333333
"222","gondar",196,4,0.133333333
"223","gondar",196,10,0.133333333
"224","gondar",196,1,0.133333333
"225","gondar",196,1.2,0.133333333
"226","gondar",192,5,0.086956522
"227","gondar",192,9,0.086956522
"228","gondar",192,2.5,0.086956522
"229","gondar",192,2.5,0.086956522
"230","gondar",192,2,0.086956522
"231","gondar",192,1.4,0.086956522
"232","gondar",192,2.5,0.086956522
"233","gondar",192,3,0.086956522
"234","gondar",192,5,0.086956522
"235","gondar",192,3.5,0.086956522
"236","gondar",192,3.5,0.086956522
"237","gondar",192,0.167,0.086956522
"238","gondar",192,1.4,0.086956522
"239","gondar",192,1.2,0.086956522
"240","gondar",192,5,0.086956522
"241","gondar",192,0.83,0.086956522
"242","gondar",192,1.25,0.086956522
"243","gondar",192,1.58,0.086956522
"244","gondar",192,2,0.086956522
"245","gondar",192,0.83,0.086956522
"246","gondar",192,0.83,0.086956522
"247","gondar",192,0.33,0.086956522
"248","gondar",192,0.42,0.086956522
"249","gondar",182,1,0.090909091
"250","gondar",182,1.2,0.090909091
"251","gondar",182,2.6,0.090909091
"252","gondar",182,3,0.090909091
"253","gondar",182,1.4,0.090909091
"254","gondar",182,0.5,0.090909091
"255","gondar",182,0.5,0.090909091
"256","gondar",182,12,0.090909091
"257","gondar",182,5,0.090909091
"258","gondar",182,6,0.090909091
"259","gondar",182,2.5,0.090909091
"260","gondar",126,1.5,0.052631579
"261","gondar",126,2,0.052631579
"262","gondar",126,1.5,0.052631579
"263","gondar",126,1.5,0.052631579
"264","gondar",126,1.5,0.052631579
"265","gondar",126,1.5,0.052631579
"266","gondar",126,0.5,0.052631579
"267","gondar",126,0.5,0.052631579
"268","gondar",126,0.5,0.052631579
"269","gondar",126,1.5,0.052631579
"270","gondar",126,0.167,0.052631579
"271","gondar",126,0.25,0.052631579
"272","gondar",126,0.42,0.052631579
"273","gondar",126,1.167,0.052631579
"274","gondar",126,0.5,0.052631579
"275","gondar",126,2.25,0.052631579
"276","gondar",126,0.25,0.052631579
"277","gondar",126,2.5,0.052631579
"278","gondar",126,0.25,0.052631579
"279","gondar",126,1.167,0.052631579
"280","gondar",126,0.167,0.052631579
"281","gondar",126,4,0.052631579
"282","gondar",126,4,0.052631579
"283","gondar",126,5,0.052631579
"284","gondar",126,4,0.052631579
"285","gondar",126,3,0.052631579
"286","gondar",126,6,0.052631579
"287","gondar",126,7,0.052631579
"288","gondar",126,4.5,0.052631579
"289","gondar",126,4,0.052631579
"290","gondar",126,6,0.052631579
"291","gondar",126,3,0.052631579
"292","gondar",126,3,0.052631579
"293","gondar",126,3,0.052631579
"294","gondar",126,2.5,0.052631579
"295","gondar",126,7,0.052631579
"296","gondar",126,3,0.052631579
"297","gondar",126,5,0.052631579
"298","gondar",101,10,0.071428571
"299","gondar",101,6,0.071428571
"300","gondar",101,8,0.071428571
"301","gondar",101,9,0.071428571
"302","gondar",101,8,0.071428571
"303","gondar",101,3.5,0.071428571
"304","gondar",101,10,0.071428571
"305","gondar",101,4,0.071428571
"306","gondar",101,0.58,0.071428571
"307","gondar",101,0.25,0.071428571
"308","gondar",101,0.25,0.071428571
"309","gondar",101,0.25,0.071428571
"310","gondar",101,0.33,0.071428571
"311","gondar",101,0.167,0.071428571
"312","hawassa",193,3,0.1
"313","hawassa",193,3,0.1
"314","hawassa",193,0.42,0.1
"315","hawassa",193,2,0.1
"316","hawassa",193,0.58,0.1
